iteration,val_auc
0,0.9458322735792184
1,0.9447005804552897
2,0.9464608078764516
3,0.9436578100219187
4,0.9449823991065756
5,0.9429259928480751
6,0.9399867113047526
7,0.9443829994175841
8,0.9410347287291816
9,0.945641863035307
10,0.9460095666454854
11,0.9392569653115898
12,0.9449703862586275
13,0.9433659116246536
14,0.9430545441289898
15,0.944379961685919
16,0.9443915602977309
17,0.943427356651514
18,0.9455405132606655
19,0.9441923127162486
20,0.9452342546773473
21,0.9438287514674315
22,0.944959892276512
23,0.9412655963357224
24,0.9436373743725359
